Date,Value
2022-06-13,78.05
2022-06-10,77.84
2022-06-09,77.75
2022-06-08,77.67
2022-06-07,77.73
2022-06-06,77.61
2022-06-03,77.61
2022-06-02,77.56
2022-06-01,77.53
2022-05-31,77.69
2022-05-30,77.55
2022-05-27,77.59
2022-05-26,77.6
2022-05-25,77.58
2022-05-24,77.6
2022-05-23,77.57
2022-05-20,77.68
2022-05-19,77.64
2022-05-18,77.59
2022-05-17,77.46
2022-05-16,77.8
2022-05-13,77.45
2022-05-12,77.5
2022-05-11,77.22
2022-05-10,77.26
2022-05-09,77.41
2022-05-06,76.91
2022-05-05,76.29
2022-05-04,76.35
2022-05-03,76.58
2022-05-02,76.49
2022-04-29,76.51
2022-04-28,76.65
2022-04-27,76.6
2022-04-26,76.57
2022-04-25,76.61
2022-04-22,76.45
2022-04-21,76.21
2022-04-20,76.3
2022-04-19,76.46
2022-04-14,76.13
2022-04-13,76.19
2022-04-12,76.17
2022-04-11,75.88
2022-04-08,75.86
2022-04-07,75.99
2022-04-06,75.83
2022-04-05,75.34
2022-04-04,75.53
2022-04-01,75.99